Solicitud de pedido;Descripción Material;Descripción Servicio;MES;Moneda;Texto Solicitud Pedido;Nombre área solicitante;Fecha Lib. Solped;Denominación GrpComp;Valor total Pedido
1000023481;Taller DM - Bogotá - VianiCundinamarca;PASAJES TERRESTRES;abril;COP; Bogotá, 01 Abril 2026 Señores UNIVERSIDADEAN MAURICIOAVILASANCHEZ Cordial Saludo. Dando respuesta a su solicitud y agradecien;CONTRATACIÓN PÚBLICA;08/04/2026;TRANSPORTE ;780.000,00
1300003160;TRANSPORTE TERRESTRE;PASAJES TERRESTRES;abril;COP; VIÁTICOS TRANSPORTE Y ALIMENTACIÓN - VIAJE CALI BECAS POR COLOMBIA  JOSE ALFONSO MORENO LOBO - CC. 88247153 - BP: 1000341931;NUEVOS MERCADOS;09/04/2026;VIAJES;670.000,00
1300003161;TRANSPORTE TERRESTRE;PASAJES TERRESTRES;abril;COP; VIÁTICOS TRANSPORTE Y ALIMENTACIÓN - VIAJE CALI - BECAS POR COLOMBIA  MARIA FERNANDA ROZO CORREA - CC. 35419791 - 1000047011;NUEVOS MERCADOS;09/04/2026;VIAJES;280.000,00
1300003162;TRANSPORTE TERRESTRE;PASAJES TERRESTRES;abril;COP; VIÁTICOS TRANSPORTE Y ALIMENTACIÓN - VIAJE CALI BECAS POR COLOMBIA  BRIGITTE LUIS GUILLERMO BAPTISTE BALLERA - CC. 79157459 -;NUEVOS MERCADOS;09/04/2026;VIAJES;280.000,00
1000023466;BIM LIMA POSGRADOS;ALQUILER STAND - CARPAS;abril;USD;;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;28/04/2026;EVENTOS ;2.200,00
1000023468;INSTALACION SOLAR SCREEN INTERNACIONALIZ;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO SUMINISTRO E INSTALACION DE SOLAR SCREEN P3 LEGACY INTERNACIONALIZACION, PROVEEDOR: SECURITY WINDOWS, VALOR: $2.268.14;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;2.268.140,00
1000023469;SERV INST REP ELECTRICOS VENTILACION FUN;MANTENIMIENTO MAQUINARIA Y EQUIPO;abril;COP; SERVICIO DE SUMINISTRO E INSTALACION REPUESTOS ELECTRICOS EQUIPOS DE VENTILACION PISO 4 Y PISO 7 FUNDADORES,PROVEEDOR: AMG, VAL;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;655.690,00
1000023482;INSTALACION SIFONES CARCAMO S1;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO INSTALACION DE SIFONES EN CARCAMO SOTANO 1 LEGACY, PROVEEDOR: RCA, VALOR: $973.845, CASO:;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;973.845,00
1000023483;CORRECTIVO SIFON CARCAMO PLAZOLETA;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO DE MANTENIMIENTO CORRECTIVO SIFON CARCAMO PLAZOLETA, PROVEEDOR: RCA, VALOR: $2.623.653, CASO:;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;2.623.653,00
1000023484;SELLADO DE VENTANAS INTERNACIONALIZACION;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO DE SELLADO VENTANAS INTERNACIONALIZACION P3 LEGACY, PROVEEDOR: SECURITY WINDOWS, VALOR: $1.523.200, CASO:;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;1.523.200,00
1000023500;SERV MTTO CORREC AIRE MINISPLIT UPS;MANTENIMIENTO MAQUINARIA Y EQUIPO;abril;COP; SERVICIO DE MANTENIMIENTO CORRECTIVO AIRE MINISPLIT LG CUARTO DE UPS, PROVEEDOR: AMG, VALOR: $630.700, CASO:77963;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;630.700,00
1000023467;ANTICIPO ATENCION INVITADO USIL;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; ANTICIPO PARA ATENCIÓN INVITADO Dr.Jose Sotomayor de USIL;GERENCIA GENERAL;07/04/2026;ALIMENTACION Y REF;1.000.000,00
1000023491;Invitación almuerzo a estudiantes intern;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; Pago con Tarjeta de Crédito de Pagaduría por Invitación almuerzo a 24 estudiantes internacionales en LA REGIONAL / GRUPO PRO;GERENCIA DE INTERNACIONALIZACIÓN Y RELACIONES INSTITUCIONALES;07/04/2026;ALIMENTACION Y REF;909.903,00
1000023490;BOLIGRAFO;;abril;COP; SERVICIOS DE PAPELERIA PROYECTO HUMANISE. CONTRATISTA ESAN DIRECCIÓN DE ENTREGA: OI - 10200167 CeCO- 10600801 CUENTA - 5111220;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;06/04/2026;PAPELERÍA ;332.515,00
